日期,成交股數,成交金額,open,high,low,close,漲跌價差,deal
105/11/01,"15,128,851","2,854,597,839",188.50,189.50,187.50,189.50,+1.00,"5,917"
105/11/02,"16,529,619","3,085,447,900",187.50,188.00,186.00,186.00,-3.50,"7,380"
105/11/03,"25,531,563","4,724,824,155",185.50,186.50,184.50,184.50,-1.50,"7,976"
105/11/04,"15,107,076","2,791,857,480",184.50,186.00,184.00,184.50,0.00,"7,260"
105/11/07,"21,430,225","4,023,208,624",186.50,189.00,186.00,189.00,+4.50,"7,934"
105/11/08,"15,954,387","3,011,077,756",190.00,190.00,188.00,188.50,-0.50,"6,225"
105/11/09,"55,579,000","10,245,544,000",190.00,190.50,182.00,182.00,-6.50,"22,278"
